Sudirman Yohanes Gunardi, S.T.
Irwan Ari Setiawan, S.Ag.
Taslim Huojin, S.Ag.
Gondo On, S.Ag.
Yorben Ribok
Josias Ulunjadi, M.T.
Simon Sitinjak, S.Kom.
Jonah Binjori, S.Ag.
Sutikno, S.Ag.
Kuwa, S.Ag.
Eka Deddy Gunawan, M.T.
Adi Suparman Halim, S.Sos.
Winoto Qiquiang, S.T.
Kangean Déshì, S.Kom.
Allard Samusamu
Javan Sinabalok, S.Kom.
Jordan Berasa, S.Ag.
Elisha Lingga, S.Ag.
Tirto, S.Sos.
Adi, S.Ag.
Iwan Eka Budiaman, S.Ag.
Sugiarto Krisna Sutedja, M.T.
Neonardi Cheung, S.Kom.
Wiyono Gang, S.Ag.
Riekele Tuhumena, S.Kom.
Victor Sibero, S.Kom.
Simon Keling, S.T.
Asher Cibero, S.Ag.
Tirto, S.Ag.
Sriwidadi, S.Sos.
Darma Sudirman Agusalim, S.Kom.
Susilo Yohanes Hermanto, S.Ag.
Tania Yongliang, S.Ag.
Canggih Zhensheng, S.Sos.
Twan Mols, S.Ag.
Christian Sibayang, S.Pt.
John Turnip, S.T.
Job Saragi, S.Psi.
Bambang, S.Kom.
Dian, S.Sos.
Sari Ade Setiawan, S.Kom.
Lanny Dwi Johan, S.Ag.
Wiraatmadja Changchang, M.T.
Tedjamulia Yüzhen, S.Ag.
Alieke Baadilla, S.Pt.
Ruby Kudadiri, S.Ag.
Candace Siadari
Sapphira Rumasondi, S.T.
Eko, S.Kom.
Surati, S.T.
Farida Shinta Lie, S.Ag.
Veronika Yulia Kartawijaya, S.Ag.
Wiyono Tu, S.Ag.
Riady Jiao, S.Ag.
Hadewig Noya, S.T.
Neriah Sigiro, S.Ag.
Rose Silaen
Myra Sinubulan, M.T.
Sinta, M.T.
Tri, S.Kom.
Tri Mega Darmali, S.Ag.
Mawar Erlin Lesmana, S.Ag.
Kurniadi Lihwa, S.T.
Cendana Xiaohui, S.Pt.
Ameera Silahooij, S.Kom.
Serah Lubis, M.T.
Lydia Kombara, S.T.
Serah Lumban_Tobing, S.Ag.
Bethari, S.Ag.
Ratu, S.Sos.
Liani Siska Setiabudi, S.Ag.
Erlin Putri Atmadja, S.Kom.
Gunawan Yuan, S.Sos.
Mursalim Weici, S.T.
Dora Simon, M.T.
Eunice Ginting, S.Pt.
Bethany Barus, S.Pt.
Eunice Pangaribuan, S.Psi.
Laksmini, S.Ag.
Eko, S.Ag.
Liani Sri Sudjarwadi, S.Sos.
Melati Leony Yuwono, M.T.
Susanto Mu lan, S.Si.
Candrakusuma Zhilan
Rochelle Palyama, S.Ag.
Faith Matondang, S.Psi.
Jasper Meliala, M.T.
Sherah Hutagalung, S.Sos.
Surtinem, S.Kom.
Susanti, S.Kom.
Suharto Doddy Dharmawijaya, S.Ag.
Hengki Buana Tanudjaja, S.Ag.
Linardi Hung, M.T.
Yapardi Yongzheng, S.Ag.
Rudiger Wairatta, S.Ag.
Seth Mismis
Micaiah Binjori, S.T.
Emmanuel Lase, S.Ag.
Guntur, S.Psi.
Susilo, S.Ag.
Putri Glenna Tedjo
Sinta Mega Gunardi, S.Kom.
Tandiono Huilang, S.Kom.
Winardi Yüying, S.Ag.
Jameela Buchori, S.Sos.
Edna Hutabarat, S.Ag.
Bernice Silalahi, S.T.
Sharon Daparik, S.Ag.
Susanti, S.Ag.
Ratu, S.Ag.
Dian Nirmala Budiaman, S.Ag.
Liani Dwi Sasmita, S.T.
Komar Xiaofan, S.Ag.
Onggo Wen, S.Ag.
Hishma Hungan, S.Kom.
Michal Pasi, M.T.
Delilah Gea, S.Kom.
Adina Hutapea, S.Kom.
Dwi, M.T.
Surati, S.Ag.
Darma Dwi Hartanto, S.Ag.
Tirto Agus Lie, S.Ag.
Wirya Tung, S.Si.
Tanusudibyo Jinhai, M.T.
Mansoor Petta, S.Ag.
Aquila Sabab
Matthias Kacaribu, S.Sos.
Japheth Sinambela, M.T.
Sudiroprojo, S.Sos.
Tirto, S.T.
Dwi Veronika Indrajaya, M.T.
Cahaya Leony Pranata, S.Sos.
Tanardo Meifeng, S.Ag.
Khoosasi Chu hua, S.Kom.
Danischa Palupessy, S.Ag.
Sarai Simaebang, M.T.
Mary Depari, S.Sos.
Leah Hutajulu, M.T.
Bethari, S.Sos.
Wulan, S.Kom.
Eko Batari Tan, S.Kom.
Sucianty Hartanti Indradjaja, S.Ag.
Gotama Lan, S.Ag.
Luna Nuo, S.T.
Lysanne Latuharhary
Jemimah Parinduri, S.Kom.
Michal Damanik, S.Ag.
Orpah Hutabagas, S.Sos.
Utari, S.T.
Wulan, S.Ag.
Sakeen bin Abdul Ghafoor, S.Kom.
Abdul Hameed bin Asghar
Taamir bin Adeeb, S.Sos.
Mazeed bin Mazeed, S.Sos.
Faaiq bin Arshad, S.Ag.
Tanggang bin Embong, S.Si.
Bongsu bin Daud
Jati bin Nerang, S.Ag.
Sagari bin Bijaya, S.Si.
Baba bin Andika, S.Kom.
Rashaad bin Abdul Wadood
Haneef bin Jaasim, S.T.
Rushdi bin Wisaam, S.Kom.
Haashid bin Ibrahim, M.T.
Nabeeh bin Taiseer, S.Ag.
Daut bin Bachok, S.Sos.
Seman bin Mat, S.Ag.
Teruna bin Lanang, S.Si.
Suria bin Ahad, S.Ag.
Leman bin Taufan, S.Ag.
Radiyya binti Kabeer, M.T.
Waliyya binti Abdul Wadood, S.Kom.
Israa binti Faaris, S.Pt.
Salwa binti Mutlaq, S.Kom.
Suhaa binti Abdul Hakeem, S.Ag.
Dewi binti Desa, S.Kom.
Dian binti Elias, S.Ag.
Hijau binti Sangkara, S.Kom.
Kemuning binti Zulkarnain, S.T.
Fajar binti Uda, S.Ag.
Yoosuf bin Abdul Lateef
Nawfal bin Baaqir
Jubair bin Adham, S.Sos.
Waddaah bin Muslih, M.T.
Farhaan bin Rushdi, S.Ag.
Zakaria bin Lukman
Jejaka bin Bijaya, S.Psi.
Shuib bin Andika, S.Ag.
Budiarto bin Putih, S.Sos.
Sabtu bin Senin, S.Kom.
Irwan Ivan Tahyadi, S.Ag.
Iskandar Suryadi Santoso, S.Sos.
Vonco On, S.T.
Anggraini Peng, S.Kom.
Thijs Paays, S.Ag.
Enoch Solia, S.Ag.
Jairus Lumbannahor, S.Kom.
Ishmael Solin, S.Ag.
Slamet, S.Psi.
Sukarto, S.T.
Tri Hartanti Yuwono, S.Si.
Batari Dwi Tahyadi, S.T.
Wiryo Yow, S.T.
Tanasal Liu
Lienke Hukom, S.Ag.
Deborah Lausan, S.Si.
Bethany Simorangkir, M.T.
Tamara Basirun, S.Kom.
Tuminindyah, M.T.
Utari, S.Sos.
Harta Johan Tedjo, S.Kom.
Benny Wira Kartawijaya, S.T.
Ciawi Hung, S.Ag.
Tjhia Chongan, S.Kom.
Niel Istana, S.Ag.
Abram Panggabean, S.Kom.
Ethan Kaban, S.Sos.
Uriah Sitohang, S.Sos.
Suratman, S.Kom.
SuhartoNirmala Devi Gunawan, S.Ag.
Cinta Ida Hardja, S.Ag.
Juano Ming-huá, S.Sos.
Chandrawinata Qiuyue, S.Ag.
Maruschka Sahilatua, S.Kom.
Sapphira Kombara
Ruby Sinupayung
Olive Padang, M.T.
Surati, S.Kom.
Tuminindyah, S.Sos.
Eko Handoko Muljana, S.T.
Eko Agung Cahyadi, S.Ag.
Fania Bo, S.T.
Hanjaya Qiang, S.Sos.
Gustaaf Dissels, S.T.
Bildad Saragih, S.Ag.
Obadiah Barus, S.Kom.
Shem Sidahapintu, S.Si.
Damarwulan, M.T.
Budi
Widya Glenna Atmadja, S.Sos.
